title,country_netflix,date_added_netflix,country_hulu,date_added_hulu,country_disney,date_added_disney,country_amazon,date_added_amazon,director,cast,release_year,rating,duration,listed_in,type
The Adventures of Tintin,"United States, New Zealand, United Kingdom","November 20, 2019",,,United States,"November 12, 2019",,,Steven Spielberg,"Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost, Simon Pegg, Daniel Mays, Gad Elmaleh, Toby Jones, Joe Starr",2011,PG,107 min,Children & Family Movies,Movie
The Book of Eli,United States,"July 1, 2019",,,,"February 19, 2021",,,"Albert Hughes, Allen Hughes","Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals, Evan Jones, Joe Pingue, Frances de la Tour, Michael Gambon, Tom Waits",2010,R,118 min,"Action & Adventure, Sci-Fi & Fantasy",Movie
The Code,United Kingdom,"February 1, 2018",,,United Kingdom,"January 15, 2020",,,,Marcus du Sautoy,2011,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",TV Show
The Cruise,Poland,"October 1, 2019",,,United States,"November 12, 2019",,,Marek Piwowski,"Jan Himilsbach, Stanislaw Tym, Jerzy Dobrowolski, Zdzislaw Maklakiewicz, Andrzej Dobosz, Feridun Erol, Jolanta Lothe, Wanda Stanisławska-Lothe",1970,TV-PG,66 min,"Comedies, Cult Movies, International Movies",Movie
The Guild,United States,"March 2, 2019",,,"Canada, United States","November 12, 2019",,,,"Felicia Day, Sandeep Parikh, Jeff Lewis, Robin Thorsen, Amy Okuda, Vincent Caso",2013,TV-MA,1 Season,TV Comedies,TV Show
The Incredibles 2,United States,"January 30, 2019",,,United States,"May 10, 2021",,,Brad Bird,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Sarah Vowell, Huck Milner, Catherine Keener, Bob Odenkirk, Sophia Bush, Brad Bird, John Ratzenberger",2018,PG,118 min,"Children & Family Movies, Comedies",Movie
The Jungle Book,"India, Germany, France","May 11, 2019",,,"United Kingdom, United States","June 19, 2020",,,,"Emma Tate, Jimmy Hibbert, Sam Gold, David Holt, Joseph J. Terry",2010,TV-Y7,1 Season,Kids' TV,TV Show
The Jungle School,Indonesia,"October 30, 2018",,,"United Kingdom, United States","June 19, 2020",,,Riri Riza,"Prisia Nasution, Nyungsang Bungo, Rukman Rosadi, Nadhira Suryadi, Ines Somellera",2013,TV-PG,90 min,"Dramas, International Movies",Movie
The Kindness Diaries,,"May 1, 2019",,,"United States, United Kingdom","November 12, 2019",,,,Leon Logothetis,2019,TV-PG,1 Season,Reality TV,TV Show
The Last Face,United States,"January 13, 2020",,,United States,"April 2, 2021",,,Sean Penn,"Javier Bardem, Charlize Theron, Adèle Exarchopoulos, Jared Harris, Jean Reno, Denise Newman, Merritt Wever, Sibongile Mlambo",2016,R,131 min,Dramas,Movie
The Little Mermaid,United States,"December 1, 2018",,,United States,"November 12, 2019",,,"Blake Harris, Chris Bouchard","William Moseley, Poppy Drayton, Loreto Peralta, Armando Gutierrez, Shirley MacLaine, Gina Gershon, Shanna Collins, Chris Yong, Jo Marie Payton, Tom Nowicki",2018,PG,85 min,"Children & Family Movies, Dramas",Movie
The Little Prince,"France, Canada, Italy, United States, China","November 6, 2020",,,,"May 28, 2021",,,Mark Osborne,"Jeff Bridges, Mackenzie Foy, Rachel McAdams, Riley Osborne, Marion Cotillard, Bud Cort, Ricky Gervais, Albert Brooks, James Franco, Benicio Del Toro, Paul Rudd, Paul Giamatti",2015,PG,107 min,Children & Family Movies,Movie
The Lodgers,Ireland,"August 23, 2018",,,United Kingdom,"January 15, 2020",,,Brian O'Malley,"Charlotte Vega, Bill Milner, David Bradley, Eugene Simon, Moe Dunford, Deirdre O'Kane, Roisin Murphy, Anthony Murphy, Brendan O'Rourke, Emmett Kelly",2017,R,93 min,"Horror Movies, International Movies",Movie
The Muppets,United States,"September 1, 2020",,,United States,"November 12, 2019",,,James Bobin,"Jason Segel, Amy Adams, Chris Cooper, Rashida Jones, Kermit the Frog, Miss Piggy, Fozzie Bear, Gonzo, Muppets, Steve Whitmire, Eric Jacobson, Dave Goelz, Bill Barretta, David Rudman, Matt Vogel, Peter Linz",2011,PG,104 min,"Children & Family Movies, Comedies",Movie
The Nutcracker and the Four Realms,United States,"May 28, 2019",,,United States,"December 4, 2020",,,"Lasse Hallström, Joe Johnston","Mackenzie Foy, Keira Knightley, Helen Mirren, Morgan Freeman, Matthew Macfadyen, Eugenio Derbez, Miranda Hart, Jack Whitehall, Ellie Bamber, Richard E. Grant, Omid Djalili, Tom Sweet, Misty Copeland, Sergei Polunin, Meera Syal",2018,PG,99 min,Children & Family Movies,Movie
The Pirate Fairy,United States,"June 15, 2014",,,United States,"June 19, 2020",,,Peggy Holmes,"Mae Whitman, Christina Hendricks, Tom Hiddleston, Lucy Liu, Raven-Symoné, Megan Hilty, Pamela Adlon, Angela Bartys, Jim Cummings, Carlos Ponce, Mick Wingert, Kevin Michael Richardson, Jeff Bennett, Rob Paulsen, Grey DeLisle, Kari Wahlgren, Jane Horrocks, Jesse McCartney, Anjelica Huston",2014,G,78 min,Children & Family Movies,Movie
The Princess and the Frog,United States,"July 16, 2019",,,United States,"November 12, 2019",,,"Ron Clements, John Musker","Anika Noni Rose, Bruno Campos, Keith David, Michael-Leon Wooley, Jennifer Cody, Jim Cummings, Peter Bartlett, Jenifer Lewis, Oprah Winfrey, Terrence Howard, John Goodman, Emeril Lagasse, June Christopher, Paul Briggs, Rob Edwards, John Kassir, Fred Tatasciore, Kimberly Russell, Rif Hutton, Randy Newman, Bridget Hoffman, Corey Burton, Joe Whyte, Michael Colyar, Bruce Smith, Terri Douglas, Claudette Wells, Roger Aaron Brown, Mona Marshall, Terence Blanchard, Kwesi Boakye, Mick Wingert, David Cowgill, Peter Renaday, John Musker, Ritchie Montgomery, Jerry Kernion, Philip Proctor, Eddie Frierson",2009,G,98 min,Children & Family Movies,Movie
Tinker Bell and the Legend of the NeverBeast,United States,"May 17, 2015",,,United States,"May 21, 2021",,,Steve Loter,"Ginnifer Goodwin, Mae Whitman, Rosario Dawson, Lucy Liu, Pamela Adlon, Raven-Symoné, Megan Hilty, Kari Wahlgren, Anjelica Huston, Jeff Corwin, Olivia Holt, Thomas Lennon, Chloe Bennet, Danai Gurira, Grey DeLisle, Peter Michael",2014,G,78 min,Children & Family Movies,Movie
Ugly Duckling,Thailand,"February 15, 2019",,,United States,"November 12, 2019",,,,"Mook Worranit Thawornwong, Puttichai Kasetsin, Natcha Juntapan, Neen Suwanamas, Esther Supreeleela, Shaun Jindachote, Lapassalal Jiravechsoontornkul, Chatchawit Techarukpong",2015,TV-14,4 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas",TV Show
Intrusion,,"September 22, 2021",,,,,,,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",2021,TV-14,94 min,Thrillers,Movie
Paranoia,"United States, India, France","September 19, 2021",,,,,,,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan",2013,PG-13,106 min,Thrillers,Movie
Safe House,"South Africa, United States, Japan","September 16, 2021",,,,,,,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman",2012,R,115 min,Action & Adventure,Movie
Prey,,"September 10, 2021",,,,,,,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",2021,TV-MA,87 min,"International Movies, Thrillers",Movie
Titipo Titipo,,"September 10, 2021",,,,,,,,"Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun",2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",TV Show
Tayo the Little Bus,South Korea,"September 6, 2021",,,,,,,,"Robyn Slade, Kami Desilets",2016,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",TV Show
Sharkdog,"United States, Singapore","September 3, 2021",,,,,United States,,,"Liam Mitchell, Dee Bradley Baker, Grey Griffin, Josh McDermitt, Kari Wahlgren, Judy Alice Lee, Ali Mawji",2021,TV-Y,1 Season,Kids' TV,TV Show
Worth,,"September 3, 2021",,,,,,,Sara Colangelo,"Michael Keaton, Stanley Tucci, Amy Ryan, Shunori Ramanathan, Ato Blankson-Wood, Tate Donovan, Laura Benanti, Chris Tardio",2021,PG-13,119 min,Dramas,Movie
Bright Star,"United Kingdom, Australia, France","September 2, 2021",,,,,,,Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin",2009,PG,119 min,"Dramas, Romantic Movies",Movie
Dhanak,India,"September 2, 2021",,,,,India,,Nagesh Kukunoor,"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat",2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",Movie
Gurgaon,India,"September 2, 2021",,,,,,,Shanker Raman,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma",2017,TV-14,106 min,"Dramas, International Movies, Thrillers",Movie
Do the Right Thing,United States,"September 1, 2021",,,,,,,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",1989,R,120 min,"Classic Movies, Comedies, Dramas",Movie
Labyrinth,"United Kingdom, United States","September 1, 2021",,,,,,,Jim Henson,"David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser",1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies",Movie
Once Upon a Time in America,"Italy, United States","September 1, 2021",,,,,,,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden",1984,R,229 min,"Classic Movies, Dramas",Movie
Same Kind of Different as Me,United States,"September 1, 2021",,,,,United States,,Michael Carney,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt",2017,PG-13,120 min,"Dramas, Faith & Spirituality",Movie
The Golden Child,United States,"September 1, 2021",,,,,,,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",1986,PG-13,94 min,"Action & Adventure, Comedies",Movie
The Interview,United States,"September 1, 2021",,,,,,,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi",2014,R,112 min,"Action & Adventure, Comedies",Movie
The Nutty Professor,United States,"September 1, 2021",,,,,United States,,Tom Shadyac,"Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller, Dave Chappelle, John Ales, Patricia Wilson, Jamal Mixon",1996,PG-13,95 min,"Comedies, Romantic Movies",Movie
Bread Barbershop,,"August 28, 2021",,,,,,,,"Um Sang-hyun, Park Yoon-hee, Kang Shi-hyun, Hong Bum-ki, Kim Hyun-wook, Lee In-suk, Song Ha-rim",2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",TV Show
RIDE ON TIME,,"August 27, 2021",,,,,,"August 27, 2021",,"King & Prince, Hey! Say! JUMP, KAT-TUN, NEWS, Kansai Johnny's Jr., Snow Man, Tomoyuki Yara, Travis Japan, Bi shonen, SixTONES, HiHi Jets, Kis-My-Ft2, Koichi Domoto",2021,TV-PG,3 Seasons,"Docuseries, International TV Shows",TV Show
The Dirty Picture,India,"August 27, 2021",,,,,,,Milan Luthria,"Vidya Balan, Emraan Hashmi, Tusshar Kapoor, Naseeruddin Shah, Rajesh Sharma, Imran Hasnee, Anju Mahendru",2011,TV-14,145 min,"Comedies, Dramas, International Movies",Movie
Family Reunion,United States,"August 26, 2021",,,,,,,,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Richard Roundtree",2021,TV-PG,4 Seasons,"Kids' TV, TV Comedies",TV Show
Open Your Eyes,,"August 25, 2021",,,,,,,,"Maria Wawreniuk, Ignacy Liss, Michał Sikorski, Wojciech Dolatowski, Klaudia Koścista, Zuzanna Galewicz, Marta Nieradkiewicz, Sara Celler Jezierska, Pola Król, Marcin Czarnik, Martyna Nowakowska",2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",TV Show
The Old Ways,United States,"August 25, 2021",,,,,,,Christopher Alender,"Brigitte Kali Canales, Andrea Cortes, Julia Vera, Sal Lopez",2020,TV-MA,90 min,Horror Movies,Movie
The Water Man,United States,"August 25, 2021",,,,,,,David Oyelowo,"David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller, Alfred Molina, Maria Bello",2021,PG,92 min,"Children & Family Movies, Dramas",Movie
Boomika (Hindi),,"August 23, 2021",,,,,,,Rathindran R Prasad,"Aishwarya Rajesh, Vidhu, Surya Ganapathy, Madhuri, Pavel Navageethan, Avantika Vandanapu",2021,TV-14,122 min,"Horror Movies, International Movies, Thrillers",Movie
Winx Club,Italy,"August 15, 2021",,,,,,,,"Liza Jacqueline, Helena Evangeliou, Lisa Ortiz, Kerry Williams, Gregory Abbey, Dan Green, Michael Sinterniklaas, Suzy Myers, Christina Rodriguez, Dani Schaffel, Sebastian Arcelus, Rachael Lillis",2015,TV-Y7,2 Seasons,Kids' TV,TV Show
The Kingdom,Argentina,"August 13, 2021",,,,,,,,"Chino Darín, Nancy Dupláa, Joaquín Furriel, Peter Lanzani, Mercedes Morán, Diego Peretti, Vera Spinetta, Nico García Hume, Victoria Almeida, Santiago Korovsky, Patricio Aramburu, Alfonso Tort, Diego Gentile, Néstor Guzzini, Daniel Kuzniecka",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV Show
The Railway Man,"Switzerland, United Kingdom, Australia","August 11, 2021",,,,,India,"May 19, 2021",Jonathan Teplitzky,"Colin Firth, Nicole Kidman, Jeremy Irvine, Stellan Skarsgård, Sam Reid, Hiroyuki Sanada, Michael MacKenzie, Tom Stokes",2013,R,108 min,"Dramas, International Movies",Movie
The Swarm,France,"August 6, 2021",,,,,,,Just Philippot,"Suliane Brahim, Sofian Khammes, Marie Narbonne, Raphaël Romand, Stéphan Castang, Victor Bonnel, Christian Bouillette, Renan Prévot, Vincent Deniard",2021,TV-14,102 min,"Horror Movies, Independent Movies, International Movies",Movie
Control Z,Mexico,"August 4, 2021",,,,,,,,"Ana Valeria Becerril, Michael Ronda, Yankel Stevan, Zion Moreno, Luis Curiel, Samantha Acuña, Macarena García, Fiona Palomo, Andrés Baida, Patricio Gallardo, Iván Aragón, Xabiani Ponce de León, Patricia Maqueo, Rodrigo Cachero, Rocío Verdejo, Mauro Sánchez Navarro, Lidia San José, Thanya López, Renata del Castillo, Arturo Barba, Kariam Castro, Ariana Saavedra, Alexander Holtmann, Nastassia Villasana, Marco Zunino",2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Dramas",TV Show
Office Girls,Taiwan,"August 3, 2021",,,,,,,Hsu Fu-chun,"Roy Chiu, Alice Ko, Tia Lee, Patrick Lee, Kuo Shu-yao, James Wen, Janel Tsai",2011,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",TV Show
Beowulf,"United States, United Kingdom","August 1, 2021",,,,,"United States, United Kingdom",,Robert Zemeckis,"Ray Winstone, Anthony Hopkins, John Malkovich, Angelina Jolie, Robin Wright, Brendan Gleeson, Crispin Glover, Alison Lohman, Sharisse Baker-Bernard",2007,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Movie
Catch Me If You Can,"United States, Canada","August 1, 2021",,,,,"United States, Canada",,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin",2002,PG-13,142 min,Dramas,Movie
Seabiscuit,United States,"August 1, 2021",,,,,,,Gary Ross,"Tobey Maguire, Jeff Bridges, Chris Cooper, Elizabeth Banks, Gary Stevens, William H. Macy, David McCullough, Kingston DuCoeur, Eddie Jones, Ed Lauter, Michael O'Neill, Michael Angarano, Royce D. Applegate, Annie Corley, Valerie Mahaffey",2003,PG-13,141 min,"Dramas, Sports Movies",Movie
The Losers,"United States, France","August 1, 2021",,,,,,,Sylvain White,"Jeffrey Dean Morgan, Zoe Saldana, Chris Evans, Idris Elba, Columbus Short, Óscar Jaenada, Jason Patric, Holt McCallany, Peter Macdissi, Peter Francis James",2010,PG-13,97 min,Action & Adventure,Movie
The Machinist,"Spain, France, United Kingdom, United States","August 1, 2021",,,,,,,Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside, Lawrence Gilliard Jr., Reg E. Cathey, Anna Massey, Matthew Romero, Robert Long, Colin Stinton, Craig Stevenson",2004,R,102 min,"Dramas, Independent Movies, Thrillers",Movie
The Original Kings of Comedy,United States,"August 1, 2021",,,,,,,Spike Lee,"Steve Harvey, D.L. Hughley, Cedric the Entertainer, Bernie Mac",2000,R,111 min,Stand-Up Comedy,Movie
Valentine's Day,United States,"August 1, 2021",,,,,,,Garry Marshall,"Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper, Eric Dane, Patrick Dempsey, Hector Elizondo, Jamie Foxx, Jennifer Garner, Topher Grace, Anne Hathaway, Ashton Kutcher, Queen Latifah, Taylor Lautner, George Lopez, Shirley MacLaine, Emma Roberts, Julia Roberts, Taylor Swift",2010,PG-13,125 min,"Comedies, Romantic Movies",Movie
The Flash,United States,"July 28, 2021",,,,,United Kingdom,,Glen Winter,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",2021,TV-14,7 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",TV Show
Twilight,United States,"July 16, 2021",,,,,United States,,Catherine Hardwicke,"Kristen Stewart, Robert Pattinson, Billy Burke, Peter Facinelli, Elizabeth Reaser, Cam Gigandet, Ashley Greene, Anna Kendrick, Nikki Reed, Taylor Lautner, Jackson Rathbone, Kellan Lutz",2008,PG-13,122 min,"Action & Adventure, Dramas, Romantic Movies",Movie
Heist,,"July 14, 2021",,,,,,,,,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries",TV Show
American Woman,"United States, Canada","July 13, 2021",,,,,,,Semi Chellas,"Hong Chau, Sarah Gadon, John Gallagher Jr., Lola Kirke, Ellen Burstyn, David Cubitt, Jordan Pettle, Richard Walters",2019,TV-MA,87 min,"Dramas, Independent Movies",Movie
Rock the Kasbah,United States,"July 8, 2021",,,,,,,Barry Levinson,"Bill Murray, Kate Hudson, Zooey Deschanel, Danny McBride, Scott Caan, Leem Lubany, Bruce Willis, Arian Moayed, Taylor Kinney, Glenn Fleshler",2015,R,106 min,"Comedies, Music & Musicals",Movie
Dogs,United States,"July 7, 2021",,,,,,,,,2021,TV-PG,2 Seasons,Docuseries,TV Show
Mama Drama,,"July 7, 2021",,,,,,,Seyi Babatope,"Osas Ighodaro, Kunle Remi, Kehinde Bankole, Femi Adebayo, Shaffy Bello, Adunni Ade, Chinyere Wilfred, Olive Emodi, Rekiya Attah, Opeyemi Ayeola",2020,TV-MA,105 min,"Dramas, International Movies",Movie
The Mire,Poland,"July 7, 2021",,,,,,,Jan Holoubek,"Andrzej Seweryn, Dawid Ogrodnik, Zofia Wichłacz, Magdalena Walach, Piotr Fronczewski, Agnieszka Żulewska, Ireneusz Czop, Zbigniew Waleryś, Jacek Beler, Nel Kaczmarek",2021,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",TV Show
Cuckoo,United Kingdom,"July 6, 2021",,,,,,,,"Andy Samberg, Taylor Lautner, Greg Davies, Helen Baxendale, Tamla Kari, Tyger Drew-Honey, Esther Smith",2019,TV-MA,5 Seasons,"British TV Shows, International TV Shows, TV Comedies",TV Show
Some Assembly Required,Canada,"July 6, 2021",,,,,,,,"Kolton Stewart, Harrison Houde, Charlie Storwick, Sydney Scotia, Travis Turner, Ellie Harvie, Dylan Playfair",2015,TV-Y,2 Seasons,"Kids' TV, TV Comedies",TV Show
The A List,United Kingdom,"July 6, 2021",,,,,,,,"Lisa Ambalavanar, Ellie Duckles, Savannah Baker, Cian Barry, Eleanor Bennett, Jacob Dudman, Rosie Dwyer, Jack Kane, Max Lohan, Nneka Okoye, Micheal Ward, Georgina Sadler, Indianna Ryan",2021,TV-PG,2 Seasons,"British TV Shows, International TV Shows, TV Dramas",TV Show
